time,AMGPTE-4879,AMGPTE-5001,AMGPTE-4880,AMGPTE-4881,AMGPTE-4882,AMGPTE-4900,AMGPTE-4883,AMGPTE-4884,AMGPTE-4885,AMGPTE-4886
2022-05-11 00:00:00Z,1,1,0,0,0,0,0,0,0,0
2022-05-12 00:00:00Z,0,0,1,0,0,0,0,0,0,0
2022-05-13 00:00:00Z,0,0,0,1,0,0,0,0,0,0
2022-05-15 00:00:00Z,0,0,0,0,1,1,0,0,0,0
2022-05-17 00:00:00Z,0,0,0,0,0,0,1,0,0,0
2022-05-18 00:00:00Z,0,0,0,0,0,0,0,1,0,0
2022-05-19 00:00:00Z,0,0,0,0,0,0,0,0,1,0
2022-05-21 00:00:00Z,0,0,0,0,0,0,0,0,0,1
